Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	Best Acc	
0.100000	0.218204	0.734276	66.335439	92.157806	0.000000	
0.100000	0.037662	0.775131	90.254809	93.817657	92.157806	
0.100000	0.021358	0.766810	93.079708	95.188838	93.817657	
0.100000	0.016336	0.793579	94.747675	96.295405	95.188838	
0.100000	0.014837	0.836115	94.868337	94.322829	96.295405	
0.050000	0.007143	0.815022	95.847825	96.223238	96.295405	
0.050000	0.004938	0.824046	96.323373	96.006736	96.295405	
0.050000	0.005180	0.842332	95.925900	95.285061	96.295405	
0.050000	0.004253	0.822006	96.231102	95.525619	96.295405	
0.050000	0.004460	0.830411	96.174320	95.116671	96.295405	
0.025000	0.003610	0.816794	96.394350	95.718066	96.295405	
